Model,Method,Subject,Speed,Band,Emb,Tau,Type,Score
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1412365624724109
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.16360780910427072
0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.10296172554528628
0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.15159665086318833
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05960196280142734
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0660532885186363
0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.006199789320346433
0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.04991955043297443
0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16495553457768422
0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.20209092614229282
0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.16160999814574561
0.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.1981129070657899
0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16710263953777002
0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.11861622364516018
0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.1106829202095606
0.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.2007016005182317
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.13316377358864445
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.15186939997168009
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.13431344517969054
1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.1514471002782105
1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.1317254035633153
1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.15600853583969762
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1419424783578265
1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.10299063007850581
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.13482184809535863
1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.12845970105465554
1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.1302972788002058
1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.11208387565068324
1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.10775424444848278
1.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0939153028314549
1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.08511983131543314
1.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.10187116430596845
1.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.08551652713362089
1.0,0.0,7.0,0.0,0.0,2.0,1.0,0.0,0.07441862298125024
1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.15022871157864634
1.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.10184500532501967
1.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.13505026166529463
1.0,0.0,7.0,1.0,0.0,1.0,1.0,0.0,0.09090855270303982
1.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,0.13660410089270716
1.0,0.0,7.0,1.0,0.0,2.0,1.0,0.0,0.11716612608579685
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05131441993002888
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.08693736112414356
1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.06120565453016356
1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.08209606245963416
1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.05951678818412668
1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.09225467941582065
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.04596412952178162
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.02106065235274631
1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.04247141860148701
1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.04850635436375705
1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.03891537871487512
1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.02787452767678555
1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.013124458734388006
1.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.01571153867862786
1.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,-0.0010889849547230492
1.0,1.0,7.0,0.0,0.0,1.0,1.0,0.0,0.019639698818661535
1.0,1.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0012373964871405406
1.0,1.0,7.0,0.0,0.0,2.0,1.0,0.0,-0.00374670000736474
1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.057831961446923576
1.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,0.02555582309502934
1.0,1.0,7.0,1.0,0.0,1.0,0.0,0.0,0.04531318506564673
1.0,1.0,7.0,1.0,0.0,1.0,1.0,0.0,0.016536670172649415
1.0,1.0,7.0,1.0,0.0,2.0,0.0,0.0,0.05010179366485143
